Makespan,MachineUtilization,TotalTardiness,SetupTime,Reward,Agent,NumJobs,NumMachines,Seed
164.62173803397462,0.33333333730697634,641.4294099817718,3.3463008105754852,-240.15765782858352,Double DQN,10,3,0
170.26021768368935,0.3333333358168602,668.1774257392651,2.583959329128265,-246.71631076607144,SAC,10,3,0
170.10571061251795,0.3333333358168602,666.221656686506,4.041305536031723,-250.68156886398748,Dueling-Attention DQN,10,3,0
133.3246022101649,0.33333333432674406,503.7056461689526,5.491079294681549,-254.6171260326435,Double DQN,10,3,1
134.26693105431147,0.33333333432674406,522.0934158760945,5.524843358993531,-263.96314315494385,SAC,10,3,1
130.02106387356577,0.33333333730697634,490.4647265196888,2.2957299292087554,-243.5831922125554,Dueling-Attention DQN,10,3,1
137.95068216174153,0.33333333730697634,508.9449828146647,3.599432700872421,-220.92534044474286,Double DQN,10,3,2
137.1899260099549,0.3333333387970924,511.7992026478022,3.808930444717407,-219.89252286147615,SAC,10,3,2
137.65993383055522,0.33333333730697634,512.6376089908439,4.680365800857544,-222.5514885025828,Dueling-Attention DQN,10,3,2
176.9117323388952,0.1666666679084301,673.3094849927278,9.134568226337432,-269.0346055775821,Double DQN,10,6,0
182.2961948682525,0.16666666865348817,725.318094899122,7.962501168251038,-298.0836878480441,SAC,10,6,0
172.6769136941185,0.1666666679084301,667.9967826665923,7.131087386608124,-264.7959082288398,Dueling-Attention DQN,10,6,0
130.2421433331998,0.16666666865348817,474.38457450354633,7.40031731724739,-224.45150134707154,Double DQN,10,6,1
127.43855528615484,0.1666666693985462,484.69062329242286,7.0629980087280275,-229.11824829031784,SAC,10,6,1
129.77735007282433,0.16666667088866233,463.5464548195811,9.691416764259339,-212.1339811574584,Dueling-Attention DQN,10,6,1
136.9086081407417,0.16666666567325591,515.2333201081449,8.510932302474975,-227.8150591754032,Double DQN,10,6,2
136.78675195533987,0.1666666693985462,517.9168535043754,7.7079754829406735,-225.23275061621817,SAC,10,6,2
